question,contexts,ground_truth
"What type of students are required to take the are-tracking course in Year 0, Summer of the B.S. Mathematics program?","['ProgramDescription\nTheBachelorofScienceinMathematics(BSMath)degreeprogram“providesstudentswithsubstantialexposure\ntothebreadthanddepthofmathematics,fromclassicaltocontemporary,andfromtheoreticaltoapplied.The\ncurriculumcoversfoundationalcoursesincoreareasofmathematics/appliedmathematicsaswellasadvanced\ncoursesthatwillhelppreparegraduatestopursuehigherstudiesorworkinavarietyoffields”(CMOn.48s.2017,\np.5).\nProgramofStudyforB.S.MathematicsStarting2018\nYear0,Summer\n*are-trackingcourserequiredforthosewhoarenon-completersoftheSHSSTEMstrandorwhohavenottakenandpassedthecalculus-\nrelatedcoursesinSHS\nYear1,Semester1\n*forallincomingcollegefreshmanstudentsandtransfereesexcept(1)thosewhohadfinishedabachelor’sdegreepriortoenrollmentoftheir\npresentcourse,(2)thosewhofinishedseniorhighschoolintheUniversityandhavefinishedthe3Bpurplelevel,and(3)thosewhoseADNU\nentrancetestresultsfallinthe3Blevelofreadingcomprehension\n**requiredonlyfornon-Catholicsand/orgraduatesofnon-Catholicseniorhighschools']",those who are non-completers of the SHS STEM strand or who have not taken and passed the calculus-related courses in SHS
What is the purpose of integrating Basic Engineering Mathematics into the BSECE program?,"['The BSECE program, with Ignatian ideals, emphasizes core competencies that are essential for ECE\nBraduates. These competencies reflect technical skills and Ignatian values such as problem-solving, design skills,\ncritical thinking, and more. To ensure that these competencies are attained, it is essential to strengthen foundational\nSubjects like mathematics. This will be achieved by integrating Basic Engineering Mathematics into the program.\n\nAdding Basic Engineering Mathematics will allow STEM and non-STEM SHS to Join the program. As an option,\nemerging technology professional electives are included with the demand for new technology. The new professional\nelectives courses will supplement the senior’s projects. In addition to the revision, the course code for Differential\nEquation and Engineering Technopreneurship was changed to align with other engineering programs.\n\na. Program Title and Description']",to strengthen foundational subjects like mathematics and ensure core competencies are attained
What is the prerequisite for the course MTHR000 Fundamentals of Calculus?,['| Course code | Course title | Credit\nunits | Pay units\nLec Lab |  | Pre-requisite |  |\n| --- | --- | --- | --- | --- | --- | --- |\n|  |  |  |  | Lab | Course code | Course title |\n| MTHR000* | Fundamentals of Calculus* | (5)* | 5* | 0 |  | (none) |\n| Total |  | 0 | 0+ | 0 |  |  |\n'],(none)
What is the basis for the Bachelor of Science in Architecture curriculum for SY 2022-2023?,"['ATENEODENAGAUNIVERSITY\nCollegeofScience,EngineeringandArchitecture\nDepartmentofCivilEngineeringandArchitecture\nCURRICULUMFORBACHELOROFSCIENCEINARCHITECTURE(BSARCH)\nSY2022-2023\nBasedonCMONo.61Seriesof2017\nFIRSTYEAR-FirstSemester\n*Non-Credit,requiredtoallgraduatesofNon-CatholicSHS\nFIRSTYEAR-SecondSemester']",CMO No. 61 Series of 2017
What is the prerequisite for taking PRAC300 Practicum or On-The-Job Training?,['| Course\nCode | Course Title | Credit Units Pay units |  |  |  |  |\n| --- | --- | --- | --- | --- | --- | --- |\n|  |  | Lee | Lab | Lee | Lab | Pre-Requisite\nCourse Code I Course Title |\n| PRAC300 | Practicum or On-The-Job Training 3 0\nor equivalence or apprenticeship\n1240 hours) |  |  | 3 | 0 | Pass all Major Subjects |\n'],Pass all Major Subjects
What disciplines are the Bachelor of Science in Electronics Engineering program grounded in?,"['a. Program Title and Description\n\nThe Bachelor of Science in Electronics Engineering (BSECE) program is structured to cultivate engineers with a\nrobust grounding in mathematics, natural sciences, physical sciences, and related disciplines. Accordingly, the\nprogram comprises mathematics, science, and engineering fundamentals courses, focusing on nurturing analytical\nand creative skills. It also encompasses language studies, social sciences, humanities, and other core courses to\nensure that graduates are articulate and comprehend the significance of their roles in society and the impact of their\nwork on societal advancement.']","mathematics, natural sciences, physical sciences, and related disciplines"
What is the basis for the revised curriculum for Bachelor of Science In Electronics Engineering for S/Y 2024-2025?,"['Ateneo de Naga University\nCollege of Science, Engineering, and Architecture\nElectronics and Computer Engineering Department\nRevised Curriculum for Bachelor of Science In Electronics Engineering (BSECE) S/Y 2024-2025\nBased on CMO No. 101 Serles of 2017\nI. Rationale ,\n\n20 With the integration of outcomes-based, according to the guidelines for implementing CMO No. 46 series of\n\n12 and CMO 37 s. 2012, this curriculum implements the shift to outcomes-based education (OBE), leading to\nCompetency-based standards. This includes the “core competencies” expected of Bachelor of Science in Electronics\nEngineering (BSECE) graduates with Ignatian Ideals.']",CMO No. 101 Serles of 2017
What is the purpose of including electives in the Bachelor of Science in Electronics Engineering program?,"['The program equips students with essential engineering tools to tackte challenges in electronics engineering,\nenabling them to pursue diverse career opportunities. Electives are included to facilitate specialization, enabling\nstudents to develop expertise in particular areas. The program also emphasizes fundamental concepts, updating\nexisting courses to reflect new developments.\n\n1']","to facilitate specialization, enabling students to develop expertise in particular areas"
What is the prerequisite course title for ARCH529 Business Management & Application for Architecture,"['FIFTH YEAR - Second Semester\nP hours)\nCourse . Credit a a .\nCode Course Title Units |] Prerequisite | Prerequisite Course Title\nTHEN102 |Christian Moral Paradigm\nTHEN103 |Christian Vocation, Love, Marriage and Family Life 3 3\nPHIN103 |Philosophy of Religion\nProfessional Practice 3\nARCH529 |Business Management & Application for Architecture 2 3 3 ARCH429 |(Global Practice in the\n21st Century)\nARCH523 |Architectural Design 10 - Thesis Research Application 5 | 4 12 | ARCHS13 [AThitectural Design 9 -\nThesis Research Writing\nARCHS  |*Specialization 3 F 3 fat [| ARCHS Specialization 2\n- ao fa Pe fey ey']",Global Practice in the 21st Century
What is the prerequisite course for ARCH228 Strength of Materials?,"['| Course\nCode | Course Title | Credit\nUnits | Pay Units (in\nhours) |  |  | Prerequisite | Prerequisite Course Title |\n| --- | --- | --- | --- | --- | --- | --- | --- |\n|  |  |  | lec | lab | stu\ndio |  |  |\n| PHIS102 | Ethics | 3 | 3 |  |  | PHIS101 | Understanding the Self |\n| SOCS101 | Art Appreciation | 3 | 3 |  |  | NONE |  |\n| ARCH228 | Strength of Materials | 3 | 3 |  |  | ARCH218 | Statics of Rigid Bodies |\n| ARCH229 | Tropical Design | 2 | 2 |  |  | NONE |  |\n| ARCH221 | History of Architecture 3 | 2 | 2 |  |  | ARCH211 | History of Architecture 2 |\n| ARCH223 | Architectural Design 4 - Space planning 1 | 3 | 1 |  | 6 | ARCH213 | Architectural Design 3 -\nCreative Design in\nArchitectural Interiors |\n| ARCH226 | Building Technology 2 - Construction Drawings in Wood,\nSteel and Concrete (1- Storey) | 3 | 2 |  | 3 | ARCH126 | Building Technology 1 -\nBuilding Materials |\n|  |  |  |  |  |  | ARCH216 | Building Utilities 1 - Plumbing\nand Sanitary Systems |\n| PEDS104 | Team Sports and Adaptive Activities | 2 | 2 |  |  | PEDS101 | Physical Fitness 1 |\n']",ARCH218 Statics of Rigid Bodies
What grade description corresponds to a CFRS of 90-93?,"['1. The Grading Scale\nUnder the revised college grading system, letter grades are assigned according an eight (8) level scale\nwith the indicated point values and descriptions, namely:\n2018 Revised Grading System\nGrade & Grade Description\nCFRS\n96-100 | 98-100 Excellent academic performance\n90-95 94-97 Superior academic performance\n84 - 89 90-93 | BR | Very good academic performance\n78 - 83 86 - 89 Good academic performance\n71-77 82 - 85 Moderately good academic performance\n65 - 70 78 - 81 Fair academic performance\n60 - 64 75-77 fo oD Passing academic performance\nBelow 75 Unacceptable academic performance | 0.0 |\n16\n| Student Handbook 2025-2026__INSIDE.indd 180 8/20/25 1:43PM |']",Very good academic performance
What percentage of the grading components is based on the Comprehensive Final Examination in a Lecture Course or Non-Laboratory Course?,['Academic Regulations = s\n74-75\n72-73 C+ 2.50\n69-70\n66-67\nC 2.00\n63-64\n61-62\n— ® |» | pd [| 100 |\n50=89\n40 - 49\n30-39 F\n20-29\nBelow 20\n2. Mode of Computation of the Final Grade. The mode of computing the Converted Final Raw Score\nthat is later transmuted to a numerical grade is the same for both the 2005 GS and 2018 RGS. They\ndiffer only in the transmutation to the letter grade.\na. Lecture Course or Non-Laboratory Course\n; Percentage of Converted Final Raw Score (CFRS)\nGrading Components\nClass Standing 33.33%\n| Preliminary Examination | tom |\n33.33%\nPre-Final Examination +\nComprehensive Final Examination 33.33%\n100% 100%'],33.33%
What is the Average Quality Point Index for the given example?,"[""3. Computation of Average Quality Point Index\n\nThe Average Quality Point Index (QP!) is used as a measure of student's academic performance. To\ndetermine the average OPI, the letter grades are given point values as shown in the Transmutation Table for\nthe 2018 Revised Grading System. It is computed as the quotient of the Accumulated Grade (AG) and the\nTotal Units (TU). An example showing the procedure is shown below:\n\n; . Letter | Point Value .\nCSDC100 — Introduction to Computing | 3 | B | 30 | 900 |\nCSDC101 — Fundamentals of Programming | 3 | B | 30 | 900 |\n\\THS101 = Mathematics in the Modern World\nAverage OP! = AG/TU = 62.50/20 = 3.125\n22\n| Student Handbook 2025-2026__INSIDE.indd 186 8/20/25 1:43PM |""]",3.125
What is required for the approval of a delayed examination application due to valid causes enumerated in #2 above?,"[""Misrepresentation, tampering of supporting documents and other forms of fraud committed\n\nby any student in relation to his or her application for delayed examination may result to\n\ndisapproval of the request, without prejudice to the imposition of applicable sanctions\nprovided under the College Student Handbook.\n\n4, Exemption from the Delayed Examination Fee. The delayed examination fee shall not be\ncollected when the cause of the student's failure to take the examination as scheduled is any\nof the valid reasons listed in 2.1 above, except 2.7 or work-related causes.\n\n5. Processing of Applications\n5.1 Fordelayed examinations due to the causes enumerated in #2 above with appropriate\n\nsupporting documents, only the approval of the home department chairperson\nis required and this approval is binding on all teachers concerned, regardless of\ndepartment or college.""]",the approval of the home department chairperson
What is the deadline for completing delayed final examinations?,"[""1.1 Delayed preliminary, midterm and pre-final examinations must be completed no later\nthan the last day prior to the schedule of the next major exam period (e.g., delayed\npreliminary exams must be taken not later than the last recitation or class day before\nthe midterm exams).\n1.2 Delayed final examinations must be completed no later than the first week of classes\nof the succeeding term, summer sessions included.\n1.3 Applications for delayed preliminary, midterm and pre-final examinations must be filed\nno later than a week before the next scheduled examinations.\n1.4 Aconcerned student may appeal a disapproved application for delayed examination\nto the Dean of his/her Home College.\n1.5 The College Registrar's Office shall announce and/or publish the approved deadlines\nfor filing of applications and the delayed final examinations.\n2. Valid reasons for delayed examinations and supporting documents. The following are""]","no later than the first week of classes of the succeeding term, summer sessions included"
